Name	City	Country	Location	Link	International Payments	Food
Scweizer Tafel	Zurich	Switzerland	Zurich, Switzerland	https://www.schweizertafel.ch/de/ueber-uns/institutionen-die-wir-beliefern/zuerich.html	Maybe	Yes
Voedselbank Amsterdam	Amsterdam	Netherlands	Amsterdam, Netherlands	https://amsterdam.voedselbank.org/	Maybe	Yes
Voedselbank Rotterdam	Rotterdam	Rotterdam	Rotterdam, Netherlands	https://www.voedselbank.nl/	Maybe	Yes
Voedselbank Brussels	Brussels	Netherlands	Brussels, Netherlands	http://www.foodbank-brabant.be/index.php?lg=nl	Maybe	Yes
One Taka Meal	Dhaka	Bangladesh	Dhaka, Bangladesh	https://onetakameal.org/about	Maybe	Yes
Tider	Istanbul	Turkey	Istanbul, Turkey	https://www.tider.org/tur/gida-bankaciligi	Maybe	Yes
Food Aid Foundation	Kuala Lumpur	Malaysia	Kuala Lumpur, Malaysia	https://www.foodaidfoundation.org/	Maybe	Yes
Banco De Alimentos Sao Paulo	Sao Paulo	Brazil	Sao Paulo, Brazil	https://www.bancodealimentos.org.br/	Maybe	Yes
Food Bank of Brasilia	Brasilia	Brazil	Brasilia, Brazil	http://www.ceasa.df.gov.br/seja-um-doador/	Maybe	Yes
Food Center Stockholm	Stockholm	Sweden	Stockholm, Sweden	https://www.stadsmissionen.se/ge-stod	Maybe	Yes
Second Harvest	Tokyo	Japan	Tokyo, Japan	http://2hj.org/english/support/time/	Maybe	Yes
Red De Alimentos	Santiago	Chile	Santiago, Chile	http://www.redalimentos.cl/	Maybe	Yes
Potravinova Banka Pro Praha	Prague	Czech Republic	Prague, Czech Republic	https://potravinovabankapraha.cz/#jak_pomoci	Maybe	Yes
Manathai Communities Foodbank	Bangkok	Thailand	Bangkok, Thailand	http://placeofgracebangkok.org/en/contact-donate.html	Maybe	Yes
Wiener Tafel	Vienna	Austria	Vienna, Austria	https://www.wienertafel.at/index.php?id=399	Maybe	Yes
Food Bank Australia	Canberra	Australia	Canberra, Australia	https://www.foodbank.org.au/?state=au	Maybe	Yes
Banco De Alimentos	Quito	Ecuador	Quito, Ecuador	http://bancodealimentosquito.com/en/	Maybe	Yes
Gleaners Community Food Bank	Detroit	Michigan	Detroit, Michigan	https://www.gcfb.org/	Maybe	Yes
Foodbank Wellington	Wellington	New Zealand	Wellington, New Zealand	https://wellingtonfoodbank.org/	Maybe	Yes
Foodbank Russia	Moscow	Russia	Moscow, Russia	https://foodbankrus.ru/en	Maybe	Yes
Fundación Banco Arquidiocesano de Alimentos Medellín	Medellin	Colombia	Medellin, Colombia	https://bancodealimentos.co/site/	Maybe	Yes
Banco De Alimentos Bogota	Bogota	Colombia	Bogota, Colombia	https://www.bancodealimentos.org.co/	Maybe	Yes
ShareTheMeal	World	World	World	https://sharethemeal.org/en/index.html	Yes	Yes
Penny Appeal Syria	Damascus	Syria	Damascus, Syria	https://pennyappeal.org/appeal/feed-our-world/donate-food-syria	Maybe	Yes
Penny Appeal Nepal	Kathmandu	Nepal	Kathmandu, Nepal	https://pennyappeal.org/appeal/feed-our-world/feed-nepal	Maybe	Yes
Penny Appeal Afghanistan	Kabul	Afghanistan	Kabul, Afghanistan	https://pennyappeal.org/appeal/feed-our-world/feed-afghanistan	Maybe	Yes
Penny Appeal Bangladesh	Dhaka	Bangladesh	Dhaka, Bangladesh	https://pennyappeal.org/appeal/feed-our-world/feed-bangladesh	Maybe	Yes
Penny Appeal South Africa	Cape Town	South Africa	Cape Town, South Africa	https://pennyappeal.org/appeal/feed-our-world/donate-food-south-africa	Maybe	Yes
Penny Appeal Palestine	Ramallah	Palestine	Ramallah, Palestine	https://pennyappeal.org/appeal/feed-our-world/donate-food-palestine	Maybe	Yes
Penny Appeal Yemen	Sana'a	Yemen	Sana'a, Yenmen	https://pennyappeal.org/appeal/feed-our-world/donate-food-yemen	Maybe	Yes
Penny Appeal Lebanon	Beirut	Lebanon	Beirut, Lebanon	https://pennyappeal.org/appeal/feed-our-world/feed-lebanon	Maybe	Yes
Leket Israel	Tel Aviv	Israel	Tel Aviv, Israel	https://www.leket.org/en/	Maybe	Yes
Daily Bread Food Bank	Toronto	Canada	Toronto, Canada	https://www.dailybread.ca/	Maybe	Yes
Greater Vancouver Food Bank	Vancouver	Canada	Vancouver, Canada	https://foodbank.bc.ca/	Maybe	Yes
Banquea Alimentaire Morccow	Casablanca	Morocco	Casablanca, Morocco	http://www.banquealimentaire.ma/en/contact.html	Maybe	Yes
Food Bank Kenya	Nairobi	Kenya	Nairobi, Kenya	https://www.foodbankingkenya.org/	Maybe	Yes
Banki Zywnosci Poland	Warsaw	Poland	Warsaw, Poland	https://bankizywnosci.pl/	Maybe	Yes
Euro Food Bank	Europe	Europe	Europe	https://www.eurofoodbank.org/	Maybe	Yes
Kuwait Food Bank	Kuwait City	Kuwait	Kuwait City, Kuwait	https://www.kuwaitfoodbank.org/	Maybe	Yes
Feed Our Homeless	Dublin	Ireland	Dublin, Ireland	https://feedourhomeless.ie/	Maybe	Yes
Matsentralen	Oslo	Norway	Oslo, Norway	https://www.matsentralen.no/english	Maybe	Yes
Oasis Food Bank	Beijing	China	Beijing, China	http://www.chinafoodbanking.org/	Maybe	Yes
Capital Area Food Bank	Washington D.C	United States of America	Washington D.C, USA	https://www.capitalareafoodbank.org/	Maybe	Yes
Northwest Harvest	Seattle	United States of America	Seattle, USA	https://www.northwestharvest.org/	Maybe	Yes
Feeding Florida	Miami	United States of America	Miami, Florida	https://www.feedingflorida.org/feeding-florida/florida-food-banks	Maybe	Yes
Egyptian Food Bank	Cairo	Egypt	Cairo, Egypt	https://www.egyptianfoodbank.com/	Maybe	Yes
